company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
Catalyst,Startup/Other,7,15.74,11.96,5.6,0,"Machine Learning, Python, NLP, Spark, Tableau",estimated_only
DocsApp,MNC/IT Services,7,11.24,9.6,4.9,0,"SQL, AWS, Communication, Python, APIs",estimated_only
ERM Placement Services (P) Ltd.,Startup/Other,7,16.36,17.44,7.1,0,"Azure, Python, Databricks, Spark, Scala",estimated_only
EY,Startup/Other,7,18.11,17.64,7.9,0,"Azure, SQL, AWS, Java, Spark",estimated_only
SKYONNTECHNOLOGIES PRIVATE LIMITED,Startup/Other,7,16.91,16.43,5.9,0,"Spark, Python, AWS, GCP, Azure",estimated_only
Capgemini,MNC/IT Services,7,12.08,13.61,5.7,0,"Spark, Communication, SQL, ETL, NLP",estimated_only
Amazon,Product,7,17.02,13.87,5.4,0,"Python, Tableau, SQL, Excel, Spark",estimated_only
Silicon Valley Bank,Consulting,7,13.04,11.56,5.6,0,"Data Modeling, SAS, ETL, Machine Learning, Agile",estimated_only
Airbnb,Startup/Other,7,18.45,21.76,8.1,0,"SQL, Java, Spark, Scala, Machine Learning",estimated_only
Team Plus Staffing Solution Pvt Ltd,Startup/Other,6,16.1,17.1,6.5,0,"Python, Machine Learning, Spark, C++, Java",estimated_only
Unusual Hire,Startup/Other,6,7.06,6.7,2.6,0,"Data Visualization, Communication, Machine Learning, Power BI, GCP",estimated_only
Cytiva,Startup/Other,6,10.6,11.13,3.7,0,"Power BI, Tableau, Spark, Python, Communication",estimated_only
Cyient,MNC/IT Services,6,20.29,21.03,9.7,0,"Machine Learning, Python, Power BI, C++, Spark",estimated_only
Acme Services,Startup/Other,6,11.65,10.45,4.7,0,"Python, SQL, Excel, Machine Learning, R",estimated_only
Zebra Technologies India Pvt Ltd,Startup/Other,6,15.88,15.82,5.7,0,"Spark, SQL, Machine Learning, ETL, Azure",estimated_only
milestone internet marketing pvt ltd,Startup/Other,6,15.75,14.86,7.4,0,"Git, NoSQL, MongoDB, Azure, SQL",estimated_only
2Coms,Startup/Other,6,19.06,18.36,6.7,0,"Spark, TensorFlow, Communication, Python, Agile",estimated_only
Lowes Services India Private limited,Startup/Other,6,11.98,10.88,4.2,0,Scala,estimated_only
National Geographic,Startup/Other,6,11.08,8.59,4.3,0,"Git, Tableau, Spark, Data Modeling",estimated_only
Microland,Product,6,18.25,13.46,6.0,0,"Excel, Data Modeling, SQL, Azure, Machine Learning",estimated_only
Becton Dickinson India Pvt Ltd,Startup/Other,6,19.79,22.62,7.8,0,"Machine Learning, Agile, Data Visualization, Power BI, Spark",estimated_only
Prime Infosoft,Startup/Other,6,14.3,13.18,5.9,0,"Spark, Communication, Python, ETL, Java",estimated_only
TekFortune Inc.,Startup/Other,6,14.31,14.9,5.2,0,"Spark, Scala, SQL, Kafka, Java",estimated_only
UST,Startup/Other,6,16.62,15.3,6.5,0,"Java, SQL, Kafka, Azure, Tableau",estimated_only
Uniphore,Startup/Other,6,13.09,12.27,4.8,0,"Machine Learning, NLP, Tableau, Excel, Communication",estimated_only
Ally - eXecutive.com,Startup/Other,6,19.85,19.28,9.4,0,"SAS, Machine Learning, Communication, Git, Java",estimated_only
