skill_pair,co_occurrences,avg_salary,salary_source
Excel + SAS,22,13.22,all_including_estimated
Data Modeling + Git,15,13.21,all_including_estimated
Communication + SAS,10,13.2,all_including_estimated
Data Visualization + Git,15,13.06,all_including_estimated
Power BI + R,35,13.01,all_including_estimated
Excel + Statistics,18,12.86,all_including_estimated
GCP + Tableau,16,12.77,all_including_estimated
ETL + SAS,13,12.75,all_including_estimated
Communication + Pandas,7,12.7,all_including_estimated
Data Modeling + Excel,9,12.7,all_including_estimated
Data Visualization + GCP,7,12.67,all_including_estimated
Agile + Data Visualization,7,12.67,all_including_estimated
APIs + AWS,13,12.6,all_including_estimated
Machine Learning + MongoDB,8,12.4,all_including_estimated
MongoDB + Python,28,12.37,all_including_estimated
Power BI + SAS,8,12.33,all_including_estimated
Plotly + Power BI,5,12.31,all_including_estimated
Excel + GCP,5,12.29,all_including_estimated
APIs + Git,5,12.2,all_including_estimated
ETL + Excel,9,12.09,all_including_estimated
Agile + Power BI,5,12.08,all_including_estimated
Excel + SQL,99,12.04,all_including_estimated
Power BI + Statistics,14,11.75,all_including_estimated
Excel + R,26,11.46,all_including_estimated
Excel + Python,55,11.35,all_including_estimated
Communication + Data Visualization,13,11.32,all_including_estimated
A/B Testing + Statistics,8,10.58,all_including_estimated
Communication + Excel,46,10.15,all_including_estimated
Plotly + SQL,12,9.96,all_including_estimated
Excel + Plotly,15,9.72,all_including_estimated
